Type,x,y,angle
S,49,50,0
O,133,222,0.0
O,320,146,0.0
O,195,57,0
O,162,111,0
O,110,150,0
O,104,153,0
O,105,159,0
O,109,168,0
O,116,176,0
O,123,184,0
O,279,95,0
O,279,100,0
O,273,104,0
O,273,107,0
O,280,112,0
O,288,118,0
O,292,122,0
O,301,129,0
O,310,134,0
O,317,138,0
O,326,144,0
O,332,147,0
O,336,149,0
O,76,-67,0
O,133,18,0
O,70,-69,0
O,124,14,0
B,138,16,0.0
B,92,217,178
B,82,240,114
B,89,262,116
B,127,282,111
B,-5,576,113
B,123,292,113
B,117,306,108
B,137,288,164
B,161,249,45
B,159,289,172
B,197,288,85
B,182,285,174
B,249,304,17
B,148,290,172
B,224,280,36
B,138,261,136
B,145,244,75
B,144,62,30
B,69,36,81
B,56,31,174
B,43,-18,87
B,23,-7,172
B,164,-35,178
B,128,56,3
B,129,2,89
B,158,-66,98
B,139,-71,96
B,146,-88,91
B,185,-56,129
B,313,234,133
B,310,260,88
B,744,275,2
B,349,275,2
B,364,285,4
B,375,290,2
B,412,285,177
B,388,294,3
B,-37,292,179
B,363,152,179
B,370,214,69
B,414,296,64
B,400,163,86
B,34142,3182,5
B,446,296,59
B,435,148,157
B,390,276,89
B,353,6,151
B,269,16,117
B,229,44,8
B,217,47,4
B,155,46,31
B,366,-325,132
B,121,-232,109
B,11,12,139
B,57,-34,40
B,141,-173,126
B,84,-73,138
B,30,-51,82
B,24,-22,122
B,115,-8,128
B,108,-66,51
B,-81,-111,25
B,82,-14,155
B,224,61,34
B,306,62,67
B,302,42,41
B,297,88,128
B,258,140,171
B,247,36,12
B,254,-8,139
B,185,-43,90
B,173,-59,77
B,155,-76,65
B,159,-99,147
B,140,-145,78
B,88,-233,80
B,66,-290,48
B,69,-276,13
B,132,-286,177
B,137,-307,169
B,253,-333,165
B,84,-302,130
B,19,-227,168
