x,y
-6.979321176686654749e-01,-9.735421449934772778e-03
-7.004573312737492063e-01,-4.651406089462468973e-02
-7.025283097182913883e-01,-5.898262890416901272e-02
-7.026319912538304679e-01,-1.087626811180515962e-01
-7.067506282792241912e-01,-1.867205358006689409e-01
-7.122488616729459876e-01,-2.150292661437963049e-01
-7.103687092890618171e-01,-2.557367585286701162e-01
-7.326772278276183492e-01,-5.480959031870029641e-01
-7.585806277451637714e-01,-7.274313914075538623e-01
-9.031860707983627723e-01,-1.107382489817064108e+00
8.615523558846522878e-01,-1.389587171387407061e+00
9.334435910420585403e-01,-1.394405598356388776e+00
1.011956222154070995e+00,-1.403155255286428593e+00
1.055458878343220164e+00,-1.410904118563265586e+00
2.154072575732073780e+00,-2.022868232876718242e+00
1.406721567747340362e+00,2.149626818830267627e+00
1.355668888398793737e+00,2.152695382285162662e+00
1.270660537172824345e+00,2.183139462998819447e+00
1.214802556545949042e+00,2.173558095865487871e+00
1.164397050102929709e+00,2.171514550703194324e+00
1.116722263884804889e+00,2.172827827379685495e+00
1.035101844645260671e+00,2.199619317834654364e+00
9.867170982986185335e-01,2.195458649146540875e+00
9.352502544243677107e-01,2.182013589721802926e+00
8.936257109264350573e-01,2.189670782076615918e+00
8.142457589536993279e-01,2.212954593506629930e+00
7.676072535191804658e-01,2.204163247299970596e+00
7.234000719163020676e-01,2.200124602215241865e+00
6.117205033355125332e-01,2.251374417485456192e+00
5.720901313570814217e-01,2.260738145311549374e+00
5.302640296358904770e-01,2.260642427028761059e+00
4.504629762805596460e-01,2.274828374523957475e+00
4.101618390733905439e-01,2.279390970213145629e+00
3.680799826005635156e-01,2.272382304358834038e+00
3.282227507901865349e-01,2.277470388408173729e+00
2.485402386371491634e-01,2.287537823510366497e+00
1.686281660926653159e-01,2.295815487436788871e+00
1.284233018578021523e-01,2.296411817639608000e+00
4.811762825592494353e-02,2.295495744140710670e+00
-3.202332725827695264e-02,2.295776671200489449e+00
-1.115880857757176742e-01,2.282273754692710988e+00
-3.153937666703912068e-01,4.749539867281945327e+00
-3.968979950319992955e-01,4.727367933999558680e+00
-5.619941704875676125e-01,4.713615768886129764e+00
-6.444438938394251304e-01,4.705071068124367706e+00
-7.290610207730237047e-01,4.709907012294186401e+00
-9.004850308592903252e-01,4.720886033985302710e+00
-9.804893719996673473e-01,4.693683662439837256e+00
-1.162303785602918582e+00,4.732354627744908449e+00
-1.406034926731109413e+00,2.358724669740309476e+00
-1.468063911127294618e+00,2.367822718710135277e+00
-1.525415379679466277e+00,2.367058054526726352e+00
-1.585963874482653857e+00,2.369160186909476273e+00
-1.930536669267242100e+00,2.317171630285875139e+00
-1.106856060669714203e+00,6.186224033191400906e-01
-1.109552206700376908e+00,5.949577791125710835e-01
-1.114386778449547588e+00,5.483667274234281797e-01
-6.944262010034842891e-01,2.283270908644773056e-01
-6.919140550576509119e-01,1.879998706229073502e-01
-6.915713436585382290e-01,1.369454383994240243e-01
-6.928418735781300963e-01,9.985049587982063046e-02
-6.964858836505419815e-01,2.676660418021505408e-02
-6.996316531365363023e-01,-5.761580274099217802e-02
8.359497018815057467e-01,-1.407464735045970583e+00
9.787832208609382745e-01,-1.413132811969623370e+00
2.281998341777239148e+00,-8.437849222753543987e-01
1.312531953599990420e+00,2.159395429314824977e+00
1.079025321860581643e+00,2.183987381937456895e+00
6.890148766111878764e-01,2.213229057813419054e+00
2.914315408519972950e-01,2.277429181009526182e+00
9.199151370281956341e-02,2.298159555396790399e+00
-6.824605704641203974e-02,2.288982809237431582e+00
-4.743987461981483134e-01,4.746350771660746481e+00
-7.186713519205508716e-01,4.692283298382854184e+00
-8.038259846334211423e-01,4.698739690346016573e+00
-8.914676021450027577e-01,4.714455234691487640e+00
-1.143142613722067713e+00,4.686597894396586916e+00
-1.234154857852293619e+00,4.701721320986961494e+00
-1.285876653882870535e+00,2.347946012174399133e+00
-1.349950173421141875e+00,2.365969231538187945e+00
-1.637568404879085282e+00,2.364264220099170810e+00
-1.745980539454003555e+00,2.341749981986413154e+00
-1.877921412216165820e+00,2.343377966857019601e+00
-1.160916399753589623e+00,5.485701533930065210e-01
5.005275973836580405e+00,-1.410550324079120399e+00
5.050154197311388593e+00,-1.420444594818929929e+00
5.113855936247531098e+00,-1.420471058627307714e+00
5.165056638876463602e+00,-1.432459019482964724e+00
5.207757483959241540e+00,-1.425839105920031713e+00
