Type,x,y,angle
S,49,50,0
O,87,-2,0
O,74,-3,0
O,58,-4,0
O,49,-5,0
O,41,-5,0
O,36,-5,0
O,97,12,0
O,118,25,0
O,109,17,0
O,106,16,0
O,100,15,0
O,104,12,0
O,97,9,0
O,153,45,0
O,170,43,0
O,109,13,0
O,104,6,0
O,208,-60,0
O,182,-58,0
O,211,-52,0
O,296,59,0
O,220,93,0
O,209,93,0
O,200,97,0
O,195,98,0
B,138,16,0.0
B,109,-53,7
B,99,-54,4
B,124,-8,179
B,110,6,131
B,160,37,93
B,175,50,52
B,189,46,136
B,198,61,47
B,112,-20,89
B,163,2,20
B,136,-21,179
B,111,-4,138
B,143,-6,150
B,184,-17,16
B,176,-41,153
B,226,-43,171
B,101,-4,89
B,117,273,89
B,218,-69,99
B,250,83,157
B,112,92,1
B,177,87,176
B,152,100,17
B,199,98,6
B,200,108,12
B,126,89,39
B,139,105,50
B,58,121,25
B,170,210,101
